id,f_DECam_g,e_DECam_g,f_DECam_r,e_DECam_r,f_DECam_i,e_DECam_i,f_DECam_z,e_DECam_z,f_DECam_y,e_DECam_y
0,9065.381070978474,90.65381070978474,45581.343517858084,455.81343517858085,83370.70465278934,833.7070465278935,115834.04179856207,1158.3404179856207,114383.24619700517,1143.8324619700518
1,11912.833007812498,119.12833007812499,15500.9482421875,155.009482421875,16810.267578124996,168.10267578124996,23407.767578125004,234.07767578125004,35662.390624999985,356.62390624999983
2,5101.398014106502,51.01398014106502,22939.534233238865,229.39534233238865,41661.62236371011,416.6162236371011,58614.42909238009,586.1442909238009,58313.97153258597,583.1397153258597
3,1149.7158793525168,11.497158793525168,5767.844789260241,57.67844789260241,11088.021189294413,110.88021189294413,15064.644127345506,150.64644127345505,13137.091630022158,131.37091630022158
4,1361.110598285356,13.61110598285356,4092.447228162814,40.92447228162814,6106.533115025457,61.06533115025457,7702.588054216781,77.02588054216781,6755.294594253868,67.55294594253868
5,358.95512630407865,3.5895512630407866,1855.206287269024,18.55206287269024,3540.6855038277536,35.406855038277534,4717.785305762714,47.177853057627146,4400.139027787338,44.00139027787338
6,459.83827191590296,4.59838271915903,863.4405955038239,8.63440595503824,1241.0979876314987,12.410979876314986,2015.5491837841228,20.15549183784123,1819.1090116615746,18.191090116615747
7,197.68840182607724,1.9768840182607725,1190.5140694331903,11.905140694331903,2474.7499333944306,24.747499333944308,3219.6332115549676,32.19633211554968,2888.6983272537227,28.88698327253723
8,1.220423802168894,0.01220423802168894,54.27077553074833,0.5427077553074833,144.16466715504393,1.4416466715504392,190.87122403334007,1.9087122403334007,77.62763550536593,0.7762763550536593
9,7.507715013009812,0.07507715013009812,78.3624859897676,0.783624859897676,166.22180563325122,1.6622180563325122,173.77891972096404,1.7377891972096404,219.49387431232793,2.1949387431232794
10,58.12222262715226,0.5812222262715226,167.3547663699128,1.673547663699128,299.89762636189806,2.9989762636189807,316.7809134482382,3.167809134482382,-123.7874599102579,1.237874599102579
11,349.61288653154844,3.4961288653154843,1431.0323038642382,14.310323038642382,2400.055098406702,24.000550984067022,2983.4422273413616,29.834422273413615,2492.976514345328,24.929765143453277
12,87.49468987503629,0.8749468987503629,433.6281367088269,4.336281367088269,985.7238997983004,9.857238997983004,1315.6485984141843,13.156485984141844,799.5314412516884,7.995314412516884
13,366.7082983715331,3.667082983715331,1708.3409039832304,17.083409039832304,3193.822744314257,31.93822744314257,4227.534823318006,42.27534823318006,3470.4638914618067,34.704638914618066
